font,pcol,prow,lcol,lrow,seq,cross,color
,,,,,,,
,,,,,,,
十,7,9,0,0,0,0,0
月,7,10,0,0,0,0,0
纳,7,11,0,0,0,0,0
禾,7,12,0,0,0,0,0
稼,7,13,0,0,0,0,0
,,,,,,,
,,,,,,,
,,,,,,,
黍,7,17,0,0,0,0,0
稷,7,18,0,0,0,0,0
重,7,19,0,0,0,0,0
穋,7,20,0,0,0,0,0
,,,,,,,
,,,,,,,
禾,7,23,0,0,0,0,0
麻,7,24,0,0,0,0,0
菽,7,25,0,0,0,0,0
麦,7,26,0,0,0,0,0
,,,,,,,
,,,,,,,
嗟,7,29,0,0,0,0,0
我,7,30,0,0,0,0,0
农,7,31,0,0,0,0,0
夫,7,32,0,0,0,0,0
,,,,,,,
,,,,,,,
我,7,35,0,0,0,0,0
稼,7,36,0,0,0,0,0
既,7,37,0,0,0,0,0
同,7,38,0,0,0,0,0
,,,,,,,
上,7,40,0,0,0,0,0
入,7,41,0,0,0,0,0
执,7,42,0,0,0,0,0
宫,7,43,0,0,0,0,0
功,7,44,0,0,0,0,0
,,,,,,,
昼,7,46,0,0,0,0,0
尔,7,47,0,0,0,0,0
于,7,48,0,0,0,0,0
茅,7,49,0,0,0,0,0
,,,,,,,
,,,,,,,
宵,7,52,0,0,0,0,0
尔,7,53,0,0,0,0,0
索,7,54,0,0,0,0,0
綯,7,55,0,0,0,0,0
,,,,,,,
亟,7,57,0,0,0,0,0
其,7,58,0,0,0,0,0
乘,7,59,0,0,0,0,0
屋,7,60,0,0,0,0,0
,,,,,,,
其,7,62,0,0,0,0,0
始,7,63,0,0,0,0,0
播,7,64,0,0,0,0,0
百,7,65,0,0,0,0,0
谷,7,66,0,0,0,0,0
,,,,,,,
二,8,1,0,0,0,0,0
之,8,2,0,0,0,0,0
日,8,3,0,0,0,0,0
凿,8,4,0,0,0,0,0
冰,8,5,0,0,0,0,0
冲,8,6,0,0,0,0,0
冲,8,7,0,0,0,0,0
,,,,,,,
三,8,9,0,0,0,0,0
之,8,10,0,0,0,0,0
日,8,11,0,0,0,0,0
纳,8,12,0,0,0,0,0
于,8,13,0,0,0,0,0
凌,8,14,0,0,0,0,0
阴,8,15,0,0,0,0,0
,,,,,,,
四,8,17,0,0,0,0,0
之,8,18,0,0,0,0,0
日,8,19,0,0,0,0,0
其,8,20,0,0,0,0,0
蚤,8,21,0,0,0,0,0
,,,,,,,
献,8,23,0,0,0,0,0
羔,8,24,0,0,0,0,0
祭,8,25,0,0,0,0,0
韭,8,26,0,0,0,0,0
,,,,,,,
,,,,,,,
九,8,29,0,0,0,0,0
月,8,30,0,0,0,0,0
肃,8,31,0,0,0,0,0
霜,8,32,0,0,0,0,0
,,,,,,,
,,,,,,,
十,8,35,0,0,0,0,0
月,8,36,0,0,0,0,0
涤,8,37,0,0,0,0,0
场,8,38,0,0,0,0,0
,,,,,,,
朋,8,40,0,0,0,0,0
酒,8,41,0,0,0,0,0
斯,8,42,0,0,0,0,0
飨,8,43,0,0,0,0,0
,,,,,,,
,,,,,,,
曰,8,46,0,0,0,0,0
杀,8,47,0,0,0,0,0
羔,8,48,0,0,0,0,0
羊,8,49,0,0,0,0,0
